1461|Windows Explorer|2017-01-18T10:05:02.0000000|2017-01-18T10:05:13.0000000|Windows Explorer|ManicTime/Applications
1462|Task Scheduler|2017-01-18T10:05:13.0000000|2017-01-18T10:05:41.0000000|Task Scheduler|ManicTime/Applications
1463|Client Properties (Local Computer)|2017-01-18T10:05:41.0000000|2017-01-18T10:05:47.0000000|Client Properties (Local Computer)|ManicTime/Applications
1464|Edit Trigger|2017-01-18T10:05:47.0000000|2017-01-18T10:05:53.0000000|Edit Trigger|ManicTime/Applications
1465|Task Scheduler|2017-01-18T10:05:53.0000000|2017-01-18T10:08:14.0000000|Task Scheduler|ManicTime/Applications
1466||2017-01-18T10:05:01.0000000|2017-01-18T10:24:44.0000000||ManicTime/ComputerUsage
1467|Libraries|2017-01-18T10:08:14.0000000|2017-01-18T10:08:30.0000000|Windows Explorer|ManicTime/Applications
1468|Computer|2017-01-18T10:08:30.0000000|2017-01-18T10:08:35.0000000|Windows Explorer|ManicTime/Applications
1469|Program Files (x86)|2017-01-18T10:08:35.0000000|2017-01-18T10:08:46.0000000|Windows Explorer|ManicTime/Applications
1470|Confirm Attribute Changes|2017-01-18T10:08:46.0000000|2017-01-18T10:08:54.0000000|Windows Explorer|ManicTime/Applications
1471|Program Files (x86)|2017-01-18T10:08:54.0000000|2017-01-18T10:09:03.0000000|Windows Explorer|ManicTime/Applications
1472|Folder Options|2017-01-18T10:09:03.0000000|2017-01-18T10:09:15.0000000|Windows Explorer|ManicTime/Applications
1473|Task Scheduler|2017-01-18T10:09:15.0000000|2017-01-18T10:14:05.0000000|Task Scheduler|ManicTime/Applications
1474|Start menu|2017-01-18T10:14:05.0000000|2017-01-18T10:14:19.0000000|Windows Explorer|ManicTime/Applications
1475|C:\Windows\system32\cmd.exe|2017-01-18T10:14:19.0000000|2017-01-18T10:15:05.0000000|Windows Command Processor|ManicTime/Applications
1476|Windows Explorer|2017-01-18T10:15:05.0000000|2017-01-18T10:15:12.0000000|Windows Explorer|ManicTime/Applications
1477|Inicio.cmd - Notepad|2017-01-18T10:15:12.0000000|2017-01-18T10:15:20.0000000|Notepad|ManicTime/Applications
1478|Program Manager|2017-01-18T10:15:20.0000000|2017-01-18T10:16:12.0000000|Windows Explorer|ManicTime/Applications
1479|Inicio.cmd|2017-01-18T10:15:12.0000000|2017-01-18T10:15:20.0000000|Inicio.cmd|ManicTime/Documents
1480|Start menu|2017-01-18T10:16:12.0000000|2017-01-18T10:16:18.0000000|Windows Explorer|ManicTime/Applications
1481|C:\Windows\system32\cmd.exe|2017-01-18T10:16:18.0000000|2017-01-18T10:16:24.0000000|Windows Command Processor|ManicTime/Applications
1482|Task Scheduler|2017-01-18T10:16:24.0000000|2017-01-18T10:17:50.0000000|Task Scheduler|ManicTime/Applications
1483|C:\Windows\system32\cmd.exe|2017-01-18T10:17:50.0000000|2017-01-18T10:17:58.0000000|Windows Command Processor|ManicTime/Applications
1484|Program Files (x86)|2017-01-18T10:17:58.0000000|2017-01-18T10:18:25.0000000|Windows Explorer|ManicTime/Applications
1485|MTB|2017-01-18T10:18:25.0000000|2017-01-18T10:18:32.0000000|Windows Explorer|ManicTime/Applications
1486|end.cmd - Notepad|2017-01-18T10:18:32.0000000|2017-01-18T10:18:37.0000000|Notepad|ManicTime/Applications
1487|Task Scheduler|2017-01-18T10:18:37.0000000|2017-01-18T10:18:44.0000000|Task Scheduler|ManicTime/Applications
1488|MTB|2017-01-18T10:18:44.0000000|2017-01-18T10:19:12.0000000|Windows Explorer|ManicTime/Applications
1489|end.cmd|2017-01-18T10:18:32.0000000|2017-01-18T10:18:37.0000000|end.cmd|ManicTime/Documents
1490|C:\Windows\system32\cmd.exe|2017-01-18T10:19:12.0000000|2017-01-18T10:19:28.0000000|Windows Command Processor|ManicTime/Applications
1491|C:\Windows\system32\cmd.exe - end.cmd|2017-01-18T10:19:28.0000000|2017-01-18T10:19:34.0000000|Windows Command Processor|ManicTime/Applications
1492|C:\Windows\system32\cmd.exe|2017-01-18T10:19:34.0000000|2017-01-18T10:19:40.0000000|Windows Command Processor|ManicTime/Applications
1493|Task Scheduler|2017-01-18T10:19:40.0000000|2017-01-18T10:20:17.0000000|Task Scheduler|ManicTime/Applications
1494|Windows Explorer|2017-01-18T10:20:17.0000000|2017-01-18T10:20:23.0000000|Windows Explorer|ManicTime/Applications
1495|Start menu|2017-01-18T10:20:23.0000000|2017-01-18T10:20:32.0000000|Windows Explorer|ManicTime/Applications
1496|Windows Explorer|2017-01-18T10:20:32.0000000|2017-01-18T10:20:42.0000000|Windows Explorer|ManicTime/Applications
1497|Task Scheduler|2017-01-18T10:20:42.0000000|2017-01-18T10:21:48.0000000|Task Scheduler|ManicTime/Applications
1498|Client Properties (Local Computer)|2017-01-18T10:21:48.0000000|2017-01-18T10:22:12.0000000|Client Properties (Local Computer)|ManicTime/Applications
1499|Open|2017-01-18T10:22:12.0000000|2017-01-18T10:22:21.0000000|Open|ManicTime/Applications
1500|Task Scheduler|2017-01-18T10:22:21.0000000|2017-01-18T10:22:26.0000000|Task Scheduler|ManicTime/Applications
1501|Client Properties (Local Computer)|2017-01-18T10:22:26.0000000|2017-01-18T10:22:31.0000000|Client Properties (Local Computer)|ManicTime/Applications
1502|Task Scheduler|2017-01-18T10:22:31.0000000|2017-01-18T10:22:50.0000000|Task Scheduler|ManicTime/Applications
1503|Computer|2017-01-18T10:22:50.0000000|2017-01-18T10:22:56.0000000|Windows Explorer|ManicTime/Applications
1504|Program Files (x86)|2017-01-18T10:22:56.0000000|2017-01-18T10:23:09.0000000|Windows Explorer|ManicTime/Applications
1506|end.cmd - Notepad|2017-01-18T10:23:09.0000000|2017-01-18T10:23:24.0000000|Notepad|ManicTime/Applications
1507|C:\Windows\system32\cmd.exe|2017-01-18T10:23:24.0000000|2017-01-18T10:23:59.0000000|Windows Command Processor|ManicTime/Applications
1508|Task Scheduler|2017-01-18T10:23:59.0000000|2017-01-18T10:24:14.0000000|Task Scheduler|ManicTime/Applications
1509|end.cmd|2017-01-18T10:23:09.0000000|2017-01-18T10:23:24.0000000|end.cmd|ManicTime/Documents
1510|Windows Explorer|2017-01-18T10:24:14.0000000|2017-01-18T10:24:21.0000000|Windows Explorer|ManicTime/Applications
1511|Untitled - Paint|2017-01-18T10:24:21.0000000|2017-01-18T10:24:30.0000000|Paint|ManicTime/Applications
1512|MTB|2017-01-18T10:24:30.0000000|2017-01-18T10:24:35.0000000|Windows Explorer|ManicTime/Applications
1513|Start menu|2017-01-18T10:24:35.0000000|2017-01-18T10:24:41.0000000|Windows Explorer|ManicTime/Applications
1514|Windows Explorer|2017-01-18T10:24:41.0000000|2017-01-18T10:24:44.0000000|Windows Explorer|ManicTime/Applications
1515|Untitled|2017-01-18T10:24:21.0000000|2017-01-18T10:24:30.0000000|Untitled|ManicTime/Documents
1516|Windows Explorer|2017-01-18T10:28:49.0000000|2017-01-18T10:29:01.0000000|Windows Explorer|ManicTime/Applications
1517|Task Scheduler|2017-01-18T10:29:01.0000000|2017-01-18T10:30:37.0000000|Task Scheduler|ManicTime/Applications
1518||2017-01-18T10:28:48.0000000|2017-01-18T10:46:45.0000000||ManicTime/ComputerUsage
1519|Windows Explorer|2017-01-18T10:30:37.0000000|2017-01-18T10:31:16.0000000|Windows Explorer|ManicTime/Applications
1520|Program Manager|2017-01-18T10:31:16.0000000|2017-01-18T10:44:16.0000000|Windows Explorer|ManicTime/Applications
